VTX, IDX, ATTRIBUTE0.x, ATTRIBUTE0.y, ATTRIBUTE0.z, ATTRIBUTE1.x, ATTRIBUTE1.y, ATTRIBUTE1.z, ATTRIBUTE1.w, ATTRIBUTE2.x, ATTRIBUTE2.y, ATTRIBUTE2.z, ATTRIBUTE2.w, ATTRIBUTE5.x, ATTRIBUTE5.y, ATTRIBUTE13.x, ATTRIBUTE13.y, ATTRIBUTE13.z, ATTRIBUTE13.w, ATTRIBUTE14.x, ATTRIBUTE14.y, ATTRIBUTE14.z, ATTRIBUTE14.w, ATTRIBUTE3.x, ATTRIBUTE3.y, ATTRIBUTE3.z, ATTRIBUTE3.w, ATTRIBUTE15.x, ATTRIBUTE15.y, ATTRIBUTE15.z, ATTRIBUTE15.w, ATTRIBUTE4.x, ATTRIBUTE4.y, ATTRIBUTE4.z, ATTRIBUTE4.w, ATTRIBUTE12.x, ATTRIBUTE12.y, ATTRIBUTE12.z, ATTRIBUTE11.x, ATTRIBUTE11.y, ATTRIBUTE11.z
0, 0, -6.3983, 6.9255, 9.1652, -0.86614, -0.43307, -0.24409, 1.00, -0.35433, 0.88189, -0.30709, -1.00, 0.31909, 0.63623, 1.00, 1.00, 1.00, 1.00, 6, 0, 0, 0, 6, 0, 0, 0, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
1, 1, -6.4516, 6.9026, 8.9357, -0.89764, -0.4252, -0.07874, 1.00, -0.30709, 0.75591, -0.5748, -1.00, 0.31909, 0.63867, 1.00, 1.00, 1.00, 1.00, 6, 0, 0, 0, 6, 0, 0, 0, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
2, 2, -6.1343, 6.9968, 8.7653, -0.85039, -0.27559, -0.44094, 1.00, -0.28346, 0.96063, -0.04724, -1.00, 0.31738, 0.6416, 1.00, 1.00, 1.00, 1.00, 6, 0, 0, 0, 6, 0, 0, 0, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
3, 0, -6.3983, 6.9255, 9.1652, -0.86614, -0.43307, -0.24409, 1.00, -0.35433, 0.88189, -0.30709, -1.00, 0.31909, 0.63623, 1.00, 1.00, 1.00, 1.00, 6, 0, 0, 0, 6, 0, 0, 0, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
4, 2, -6.1343, 6.9968, 8.7653, -0.85039, -0.27559, -0.44094, 1.00, -0.28346, 0.96063, -0.04724, -1.00, 0.31738, 0.6416, 1.00, 1.00, 1.00, 1.00, 6, 0, 0, 0, 6, 0, 0, 0, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
5, 3, -5.5967, 7.156, 8.7721, -0.70079, -0.54331, -0.45669, 1.00, -0.3937, 0.83465, -0.3937, -1.00, 0.31177, 0.64404, 1.00, 1.00, 1.00, 1.00, 6, 0, 0, 0, 6, 0, 0, 0, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
6, 3, -5.5967, 7.156, 8.7721, -0.70079, -0.54331, -0.45669, 1.00, -0.3937, 0.83465, -0.3937, -1.00, 0.31177, 0.64404, 1.00, 1.00, 1.00, 1.00, 6, 0, 0, 0, 6, 0, 0, 0, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
7, 2, -6.1343, 6.9968, 8.7653, -0.85039, -0.27559, -0.44094, 1.00, -0.28346, 0.96063, -0.04724, -1.00, 0.31738, 0.6416, 1.00, 1.00, 1.00, 1.00, 6, 0, 0, 0, 6, 0, 0, 0, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
8, 4, -5.5074, 7.1033, 8.3618, -0.71654, -0.29921, -0.62992, 1.00, -0.25197, 0.95276, -0.17323, -1.00, 0.31396, 0.64795, 1.00, 1.00, 1.00, 1.00, 6, 0, 0, 0, 6, 0, 0, 0, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
9, 4, -5.5074, 7.1033, 8.3618, -0.71654, -0.29921, -0.62992, 1.00, -0.25197, 0.95276, -0.17323, -1.00, 0.31396, 0.64795, 1.00, 1.00, 1.00, 1.00, 6, 0, 0, 0, 6, 0, 0, 0, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
10, 5, -4.5945, 7.2935, 8.1002, -0.62992, -0.1811, -0.75591, 1.00, -0.13386, 0.98425, -0.12598, -1.00, 0.30835, 0.65723, 1.00, 1.00, 1.00, 1.00, 6, 0, 0, 0, 6, 0, 0, 0, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
11, 3, -5.5967, 7.156, 8.7721, -0.70079, -0.54331, -0.45669, 1.00, -0.3937, 0.83465, -0.3937, -1.00, 0.31177, 0.64404, 1.00, 1.00, 1.00, 1.00, 6, 0, 0, 0, 6, 0, 0, 0, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
12, 4, -5.5074, 7.1033, 8.3618, -0.71654, -0.29921, -0.62992, 1.00, -0.25197, 0.95276, -0.17323, -1.00, 0.31396, 0.64795, 1.00, 1.00, 1.00, 1.00, 6, 0, 0, 0, 6, 0, 0, 0, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
13, 6, -4.6747, 7.2239, 7.7287, -0.65354, -0.14173, -0.74016, 1.00, -0.15748, 0.98425, -0.04724, -1.00, 0.31201, 0.65918, 1.00, 1.00, 1.00, 1.00, 6, 0, 0, 0, 6, 0, 0, 0, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
14, 5, -4.5945, 7.2935, 8.1002, -0.62992, -0.1811, -0.75591, 1.00, -0.13386, 0.98425, -0.12598, -1.00, 0.30835, 0.65723, 1.00, 1.00, 1.00, 1.00, 6, 0, 0, 0, 6, 0, 0, 0, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
15, 5, -4.5945, 7.2935, 8.1002, -0.62992, -0.1811, -0.75591, 1.00, -0.13386, 0.98425, -0.12598, -1.00, 0.30835, 0.65723, 1.00, 1.00, 1.00, 1.00, 6, 0, 0, 0, 6, 0, 0, 0, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
16, 6, -4.6747, 7.2239, 7.7287, -0.65354, -0.14173, -0.74016, 1.00, -0.15748, 0.98425, -0.04724, -1.00, 0.31201, 0.65918, 1.00, 1.00, 1.00, 1.00, 6, 0, 0, 0, 6, 0, 0, 0, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
17, 7, -4.4081, 7.3157, 7.9814, -0.6063, -0.17323, -0.77165, 1.00, -0.17323, 0.98425, -0.08661, -1.00, 0.30786, 0.65967, 1.00, 1.00, 1.00, 1.00, 6, 0, 0, 0, 6, 0, 0, 0, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
18, 8, -3.7449, 7.3765, 6.86, -0.61417, -0.05512, -0.7874, 1.00, -0.13386, 0.99213, 0.03937, -1.00, 0.3125, 0.67188, 1.00, 1.00, 1.00, 1.00, 6, 0, 0, 0, 6, 0, 0, 0, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
19, 7, -4.4081, 7.3157, 7.9814, -0.6063, -0.17323, -0.77165, 1.00, -0.17323, 0.98425, -0.08661, -1.00, 0.30786, 0.65967, 1.00, 1.00, 1.00, 1.00, 6, 0, 0, 0, 6, 0, 0, 0, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
20, 6, -4.6747, 7.2239, 7.7287, -0.65354, -0.14173, -0.74016, 1.00, -0.15748, 0.98425, -0.04724, -1.00, 0.31201, 0.65918, 1.00, 1.00, 1.00, 1.00, 6, 0, 0, 0, 6, 0, 0, 0, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
21, 7, -4.4081, 7.3157, 7.9814, -0.6063, -0.17323, -0.77165, 1.00, -0.17323, 0.98425, -0.08661, -1.00, 0.30786, 0.65967, 1.00, 1.00, 1.00, 1.00, 6, 0, 0, 0, 6, 0, 0, 0, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
22, 9, -3.8657, 7.4749, 8.773, -0.59055, -0.07087, -0.80315, 1.00, -0.08661, 1.00, -0.02362, -1.00, 0.29785, 0.65918, 1.00, 1.00, 1.00, 1.00, 6, 0, 0, 0, 6, 0, 0, 0, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
23, 5, -4.5945, 7.2935, 8.1002, -0.62992, -0.1811, -0.75591, 1.00, -0.13386, 0.98425, -0.12598, -1.00, 0.30835, 0.65723, 1.00, 1.00, 1.00, 1.00, 6, 0, 0, 0, 6, 0, 0, 0, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
24, 10, -4.2142, 7.4502, 9.0418, -0.58268, -0.07087, -0.80315, 1.00, -0.07087, 1.00, -0.03937, -1.00, 0.29834, 0.65479, 1.00, 1.00, 1.00, 1.00, 6, 0, 0, 0, 6, 0, 0, 0, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
25, 5, -4.5945, 7.2935, 8.1002, -0.62992, -0.1811, -0.75591, 1.00, -0.13386, 0.98425, -0.12598, -1.00, 0.30835, 0.65723, 1.00, 1.00, 1.00, 1.00, 6, 0, 0, 0, 6, 0, 0, 0, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
26, 9, -3.8657, 7.4749, 8.773, -0.59055, -0.07087, -0.80315, 1.00, -0.08661, 1.00, -0.02362, -1.00, 0.29785, 0.65918, 1.00, 1.00, 1.00, 1.00, 6, 0, 0, 0, 6, 0, 0, 0, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
27, 7, -4.4081, 7.3157, 7.9814, -0.6063, -0.17323, -0.77165, 1.00, -0.17323, 0.98425, -0.08661, -1.00, 0.30786, 0.65967, 1.00, 1.00, 1.00, 1.00, 6, 0, 0, 0, 6, 0, 0, 0, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
28, 8, -3.7449, 7.3765, 6.86, -0.61417, -0.05512, -0.7874, 1.00, -0.13386, 0.99213, 0.03937, -1.00, 0.3125, 0.67188, 1.00, 1.00, 1.00, 1.00, 6, 0, 0, 0, 6, 0, 0, 0, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
29, 11, -3.4572, 7.3733, 7.1874, -0.58268, -0.14961, -0.79528, 1.00, -0.19685, 0.97638, -0.04724, -1.00, 0.30786, 0.67188, 1.00, 1.00, 1.00, 1.00, 6, 0, 0, 0, 6, 0, 0, 0, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
30, 9, -3.8657, 7.4749, 8.773, -0.59055, -0.07087, -0.80315, 1.00, -0.08661, 1.00, -0.02362, -1.00, 0.29785, 0.65918, 1.00, 1.00, 1.00, 1.00, 6, 0, 0, 0, 6, 0, 0, 0, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
31, 12, -2.7293, 7.5527, 9.8594, -0.6063, -0.02362, -0.79528, 1.00, -0.02362, 1.00, -0.01575, -1.00, 0.28149, 0.66211, 1.00, 1.00, 1.00, 1.00, 6, 0, 0, 0, 6, 0, 0, 0, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
32, 10, -4.2142, 7.4502, 9.0418, -0.58268, -0.07087, -0.80315, 1.00, -0.07087, 1.00, -0.03937, -1.00, 0.29834, 0.65479, 1.00, 1.00, 1.00, 1.00, 6, 0, 0, 0, 6, 0, 0, 0, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
33, 13, -3.6841, 7.5103, 10.5037, -0.6063, -0.07087, -0.79528, 1.00, -0.05512, 1.00, -0.04724, -1.00, 0.28418, 0.65039, 1.00, 1.00, 1.00, 1.00, 6, 0, 0, 0, 6, 0, 0, 0, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
34, 10, -4.2142, 7.4502, 9.0418, -0.58268, -0.07087, -0.80315, 1.00, -0.07087, 1.00, -0.03937, -1.00, 0.29834, 0.65479, 1.00, 1.00, 1.00, 1.00, 6, 0, 0, 0, 6, 0, 0, 0, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
35, 12, -2.7293, 7.5527, 9.8594, -0.6063, -0.02362, -0.79528, 1.00, -0.02362, 1.00, -0.01575, -1.00, 0.28149, 0.66211, 1.00, 1.00, 1.00, 1.00, 6, 0, 0, 0, 6, 0, 0, 0, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
36, 7, -4.4081, 7.3157, 7.9814, -0.6063, -0.17323, -0.77165, 1.00, -0.17323, 0.98425, -0.08661, -1.00, 0.30786, 0.65967, 1.00, 1.00, 1.00, 1.00, 6, 0, 0, 0, 6, 0, 0, 0, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
37, 14, -2.8262, 7.5945, 7.735, -0.58268, -0.04724, -0.81102, 1.00, -0.10236, 0.99213, 0.01575, -1.00, 0.29858, 0.67383, 1.00, 1.00, 1.00, 1.00, 6, 0, 0, 0, 6, 0, 0, 0, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
38, 9, -3.8657, 7.4749, 8.773, -0.59055, -0.07087, -0.80315, 1.00, -0.08661, 1.00, -0.02362, -1.00, 0.29785, 0.65918, 1.00, 1.00, 1.00, 1.00, 6, 0, 0, 0, 6, 0, 0, 0, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
39, 14, -2.8262, 7.5945, 7.735, -0.58268, -0.04724, -0.81102, 1.00, -0.10236, 0.99213, 0.01575, -1.00, 0.29858, 0.67383, 1.00, 1.00, 1.00, 1.00, 6, 0, 0, 0, 6, 0, 0, 0, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
40, 12, -2.7293, 7.5527, 9.8594, -0.6063, -0.02362, -0.79528, 1.00, -0.02362, 1.00, -0.01575, -1.00, 0.28149, 0.66211, 1.00, 1.00, 1.00, 1.00, 6, 0, 0, 0, 6, 0, 0, 0, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
41, 9, -3.8657, 7.4749, 8.773, -0.59055, -0.07087, -0.80315, 1.00, -0.08661, 1.00, -0.02362, -1.00, 0.29785, 0.65918, 1.00, 1.00, 1.00, 1.00, 6, 0, 0, 0, 6, 0, 0, 0, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
42, 14, -2.8262, 7.5945, 7.735, -0.58268, -0.04724, -0.81102, 1.00, -0.10236, 0.99213, 0.01575, -1.00, 0.29858, 0.67383, 1.00, 1.00, 1.00, 1.00, 6, 0, 0, 0, 6, 0, 0, 0, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
43, 7, -4.4081, 7.3157, 7.9814, -0.6063, -0.17323, -0.77165, 1.00, -0.17323, 0.98425, -0.08661, -1.00, 0.30786, 0.65967, 1.00, 1.00, 1.00, 1.00, 6, 0, 0, 0, 6, 0, 0, 0, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
44, 11, -3.4572, 7.3733, 7.1874, -0.58268, -0.14961, -0.79528, 1.00, -0.19685, 0.97638, -0.04724, -1.00, 0.30786, 0.67188, 1.00, 1.00, 1.00, 1.00, 6, 0, 0, 0, 6, 0, 0, 0, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
45, 12, -2.7293, 7.5527, 9.8594, -0.6063, -0.02362, -0.79528, 1.00, -0.02362, 1.00, -0.01575, -1.00, 0.28149, 0.66211, 1.00, 1.00, 1.00, 1.00, 6, 0, 0, 0, 6, 0, 0, 0, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
46, 15, -1.8248, 7.5063, 10.7646, -0.64567, 0.07874, -0.75591, 1.00, 0.11024, 0.99213, 0.00787, -1.00, 0.26807, 0.66357, 1.00, 1.00, 1.00, 1.00, 6, 7, 5, 0, 6, 7, 5, 0, 0.97255, 0.01569, 0.01176, 0.00, 0.97255, 0.01569, 0.01176, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
47, 13, -3.6841, 7.5103, 10.5037, -0.6063, -0.07087, -0.79528, 1.00, -0.05512, 1.00, -0.04724, -1.00, 0.28418, 0.65039, 1.00, 1.00, 1.00, 1.00, 6, 0, 0, 0, 6, 0, 0, 0, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
48, 15, -1.8248, 7.5063, 10.7646, -0.64567, 0.07874, -0.75591, 1.00, 0.11024, 0.99213, 0.00787, -1.00, 0.26807, 0.66357, 1.00, 1.00, 1.00, 1.00, 6, 7, 5, 0, 6, 7, 5, 0, 0.97255, 0.01569, 0.01176, 0.00, 0.97255, 0.01569, 0.01176, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
49, 16, -3.2975, 7.711, 11.8171, -0.6063, -0.11024, -0.7874, 1.00, -0.06299, 0.99213, -0.09449, -1.00, 0.27319, 0.64502, 1.00, 1.00, 1.00, 1.00, 6, 5, 0, 0, 6, 5, 0, 0, 0.92941, 0.07059, 0.00, 0.00, 0.92941, 0.07059, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
50, 13, -3.6841, 7.5103, 10.5037, -0.6063, -0.07087, -0.79528, 1.00, -0.05512, 1.00, -0.04724, -1.00, 0.28418, 0.65039, 1.00, 1.00, 1.00, 1.00, 6, 0, 0, 0, 6, 0, 0, 0, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
51, 15, -1.8248, 7.5063, 10.7646, -0.64567, 0.07874, -0.75591, 1.00, 0.11024, 0.99213, 0.00787, -1.00, 0.26807, 0.66357, 1.00, 1.00, 1.00, 1.00, 6, 7, 5, 0, 6, 7, 5, 0, 0.97255, 0.01569, 0.01176, 0.00, 0.97255, 0.01569, 0.01176, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
52, 17, -3.0565, 7.7168, 12.6493, -0.62992, -0.01575, -0.77953, 1.00, 0.12598, 0.98425, -0.12598, -1.00, 0.26709, 0.64209, 1.00, 1.00, 1.00, 1.00, 6, 5, 0, 0, 6, 5, 0, 0, 0.82353, 0.17647, 0.00, 0.00, 0.82353, 0.17647, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
53, 16, -3.2975, 7.711, 11.8171, -0.6063, -0.11024, -0.7874, 1.00, -0.06299, 0.99213, -0.09449, -1.00, 0.27319, 0.64502, 1.00, 1.00, 1.00, 1.00, 6, 5, 0, 0, 6, 5, 0, 0, 0.92941, 0.07059, 0.00, 0.00, 0.92941, 0.07059, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
54, 12, -2.7293, 7.5527, 9.8594, -0.6063, -0.02362, -0.79528, 1.00, -0.02362, 1.00, -0.01575, -1.00, 0.28149, 0.66211, 1.00, 1.00, 1.00, 1.00, 6, 0, 0, 0, 6, 0, 0, 0, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
55, 14, -2.8262, 7.5945, 7.735, -0.58268, -0.04724, -0.81102, 1.00, -0.10236, 0.99213, 0.01575, -1.00, 0.29858, 0.67383, 1.00, 1.00, 1.00, 1.00, 6, 0, 0, 0, 6, 0, 0, 0, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
56, 18, -1.4509, 7.5722, 8.8562, -0.6063, 0.10236, -0.7874, 1.00, 0.06299, 0.99213, 0.08661, -1.00, 0.27954, 0.67822, 1.00, 1.00, 1.00, 1.00, 6, 0, 0, 0, 6, 0, 0, 0, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
57, 18, -1.4509, 7.5722, 8.8562, -0.6063, 0.10236, -0.7874, 1.00, 0.06299, 0.99213, 0.08661, -1.00, 0.27954, 0.67822, 1.00, 1.00, 1.00, 1.00, 6, 0, 0, 0, 6, 0, 0, 0, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
58, 15, -1.8248, 7.5063, 10.7646, -0.64567, 0.07874, -0.75591, 1.00, 0.11024, 0.99213, 0.00787, -1.00, 0.26807, 0.66357, 1.00, 1.00, 1.00, 1.00, 6, 7, 5, 0, 6, 7, 5, 0, 0.97255, 0.01569, 0.01176, 0.00, 0.97255, 0.01569, 0.01176, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
59, 12, -2.7293, 7.5527, 9.8594, -0.6063, -0.02362, -0.79528, 1.00, -0.02362, 1.00, -0.01575, -1.00, 0.28149, 0.66211, 1.00, 1.00, 1.00, 1.00, 6, 0, 0, 0, 6, 0, 0, 0, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
60, 15, -1.8248, 7.5063, 10.7646, -0.64567, 0.07874, -0.75591, 1.00, 0.11024, 0.99213, 0.00787, -1.00, 0.26807, 0.66357, 1.00, 1.00, 1.00, 1.00, 6, 7, 5, 0, 6, 7, 5, 0, 0.97255, 0.01569, 0.01176, 0.00, 0.97255, 0.01569, 0.01176, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
61, 19, -1.4933, 7.375, 12.8619, -0.70079, 0.22047, -0.67717, 1.00, 0.33858, 0.94488, -0.03937, -1.00, 0.25269, 0.65137, 1.00, 1.00, 1.00, 1.00, 6, 5, 7, 0, 6, 5, 7, 0, 0.75686, 0.19608, 0.04706, 0.00, 0.75686, 0.19608, 0.04706, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
62, 17, -3.0565, 7.7168, 12.6493, -0.62992, -0.01575, -0.77953, 1.00, 0.12598, 0.98425, -0.12598, -1.00, 0.26709, 0.64209, 1.00, 1.00, 1.00, 1.00, 6, 5, 0, 0, 6, 5, 0, 0, 0.82353, 0.17647, 0.00, 0.00, 0.82353, 0.17647, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
63, 19, -1.4933, 7.375, 12.8619, -0.70079, 0.22047, -0.67717, 1.00, 0.33858, 0.94488, -0.03937, -1.00, 0.25269, 0.65137, 1.00, 1.00, 1.00, 1.00, 6, 5, 7, 0, 6, 5, 7, 0, 0.75686, 0.19608, 0.04706, 0.00, 0.75686, 0.19608, 0.04706, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
64, 20, -2.8291, 7.9988, 13.8992, -0.7874, 0.07087, -0.61417, 1.00, 0.1811, 0.97638, -0.11811, -1.00, 0.25928, 0.63818, 1.00, 1.00, 1.00, 1.00, 6, 5, 0, 0, 6, 5, 0, 0, 0.56863, 0.43137, 0.00, 0.00, 0.56863, 0.43137, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
65, 17, -3.0565, 7.7168, 12.6493, -0.62992, -0.01575, -0.77953, 1.00, 0.12598, 0.98425, -0.12598, -1.00, 0.26709, 0.64209, 1.00, 1.00, 1.00, 1.00, 6, 5, 0, 0, 6, 5, 0, 0, 0.82353, 0.17647, 0.00, 0.00, 0.82353, 0.17647, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
66, 18, -1.4509, 7.5722, 8.8562, -0.6063, 0.10236, -0.7874, 1.00, 0.06299, 0.99213, 0.08661, -1.00, 0.27954, 0.67822, 1.00, 1.00, 1.00, 1.00, 6, 0, 0, 0, 6, 0, 0, 0, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
67, 21, 0.1709, 7.2095, 10.2535, -0.59055, 0.35433, -0.72441, 1.00, 0.33858, 0.92126, 0.17323, -1.00, 0.25537, 0.68213, 1.00, 1.00, 1.00, 1.00, 6, 7, 5, 0, 6, 7, 5, 0, 0.95686, 0.03529, 0.00784, 0.00, 0.95686, 0.03529, 0.00784, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
