VTX, IDX, ATTRIBUTE0.x, ATTRIBUTE0.y, ATTRIBUTE0.z, ATTRIBUTE1.x, ATTRIBUTE1.y, ATTRIBUTE1.z, ATTRIBUTE1.w, ATTRIBUTE2.x, ATTRIBUTE2.y, ATTRIBUTE2.z, ATTRIBUTE2.w, ATTRIBUTE5.x, ATTRIBUTE5.y, ATTRIBUTE13.x, ATTRIBUTE13.y, ATTRIBUTE13.z, ATTRIBUTE13.w, ATTRIBUTE14.x, ATTRIBUTE14.y, ATTRIBUTE14.z, ATTRIBUTE14.w, ATTRIBUTE3.x, ATTRIBUTE3.y, ATTRIBUTE3.z, ATTRIBUTE3.w, ATTRIBUTE15.x, ATTRIBUTE15.y, ATTRIBUTE15.z, ATTRIBUTE15.w, ATTRIBUTE4.x, ATTRIBUTE4.y, ATTRIBUTE4.z, ATTRIBUTE4.w, ATTRIBUTE12.x, ATTRIBUTE12.y, ATTRIBUTE12.z, ATTRIBUTE11.x, ATTRIBUTE11.y, ATTRIBUTE11.z
3694, 754, -6.3569, -2.3416, 9.542, 0.97638, 0.03937, -0.20472, 1.00, -0.05512, 1.00, -0.05512, 1.00, 0.1106, 0.72363, 1.00, 1.00, 1.00, 1.00, 1, 0, 0, 0, 1, 0, 0, 0, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
3695, 755, -6.6229, -2.5239, 9.0878, 0.97638, 0.07087, -0.2126, 1.00, -0.11024, 0.98425, -0.16535, 1.00, 0.1084, 0.729, 1.00, 1.00, 1.00, 1.00, 1, 0, 0, 0, 1, 0, 0, 0, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
3696, 750, -3.7343, -2.5513, 8.5127, 0.99213, -0.01575, -0.09449, 1.00, 0.00, 0.99213, -0.10236, 1.00, 0.14136, 0.72998, 1.00, 1.00, 1.00, 1.00, 1, 0, 0, 0, 1, 0, 0, 0, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
3697, 756, -4.6063, -2.4143, 11.0202, 0.99213, 0.01575, -0.14173, 1.00, -0.00787, 1.00, 0.03937, 1.00, 0.1272, 0.7041, 1.00, 1.00, 1.00, 1.00, 1, 0, 0, 0, 1, 0, 0, 0, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
3698, 753, -5.213, -2.3446, 9.4729, 0.98425, -0.00787, -0.16535, 1.00, 0.00787, 1.00, -0.0315, 1.00, 0.12347, 0.72168, 1.00, 1.00, 1.00, 1.00, 1, 0, 0, 0, 1, 0, 0, 0, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
3699, 753, -5.213, -2.3446, 9.4729, 0.98425, -0.00787, -0.16535, 1.00, 0.00787, 1.00, -0.0315, 1.00, 0.12347, 0.72168, 1.00, 1.00, 1.00, 1.00, 1, 0, 0, 0, 1, 0, 0, 0, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
3700, 757, -7.0778, -2.4753, 10.4659, 0.94488, 0.25984, -0.2126, 1.00, -0.22047, 0.95276, 0.18898, 1.00, 0.10046, 0.71533, 1.00, 1.00, 1.00, 1.00, 1, 0, 0, 0, 1, 0, 0, 0, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
3701, 754, -6.3569, -2.3416, 9.542, 0.97638, 0.03937, -0.20472, 1.00, -0.05512, 1.00, -0.05512, 1.00, 0.1106, 0.72363, 1.00, 1.00, 1.00, 1.00, 1, 0, 0, 0, 1, 0, 0, 0, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
3702, 753, -5.213, -2.3446, 9.4729, 0.98425, -0.00787, -0.16535, 1.00, 0.00787, 1.00, -0.0315, 1.00, 0.12347, 0.72168, 1.00, 1.00, 1.00, 1.00, 1, 0, 0, 0, 1, 0, 0, 0, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
3703, 756, -4.6063, -2.4143, 11.0202, 0.99213, 0.01575, -0.14173, 1.00, -0.00787, 1.00, 0.03937, 1.00, 0.1272, 0.7041, 1.00, 1.00, 1.00, 1.00, 1, 0, 0, 0, 1, 0, 0, 0, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
3704, 757, -7.0778, -2.4753, 10.4659, 0.94488, 0.25984, -0.2126, 1.00, -0.22047, 0.95276, 0.18898, 1.00, 0.10046, 0.71533, 1.00, 1.00, 1.00, 1.00, 1, 0, 0, 0, 1, 0, 0, 0, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
3705, 758, -7.2953, -2.4707, 9.9229, 0.91339, 0.35433, -0.20472, 1.00, -0.34646, 0.93701, 0.07087, 1.00, 0.09949, 0.72168, 1.00, 1.00, 1.00, 1.00, 1, 0, 0, 0, 1, 0, 0, 0, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
3706, 755, -6.6229, -2.5239, 9.0878, 0.97638, 0.07087, -0.2126, 1.00, -0.11024, 0.98425, -0.16535, 1.00, 0.1084, 0.729, 1.00, 1.00, 1.00, 1.00, 1, 0, 0, 0, 1, 0, 0, 0, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
3707, 754, -6.3569, -2.3416, 9.542, 0.97638, 0.03937, -0.20472, 1.00, -0.05512, 1.00, -0.05512, 1.00, 0.1106, 0.72363, 1.00, 1.00, 1.00, 1.00, 1, 0, 0, 0, 1, 0, 0, 0, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
3708, 757, -7.0778, -2.4753, 10.4659, 0.94488, 0.25984, -0.2126, 1.00, -0.22047, 0.95276, 0.18898, 1.00, 0.10046, 0.71533, 1.00, 1.00, 1.00, 1.00, 1, 0, 0, 0, 1, 0, 0, 0, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
3709, 758, -7.2953, -2.4707, 9.9229, 0.91339, 0.35433, -0.20472, 1.00, -0.34646, 0.93701, 0.07087, 1.00, 0.09949, 0.72168, 1.00, 1.00, 1.00, 1.00, 1, 0, 0, 0, 1, 0, 0, 0, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
