Element, data.x, data.y, data.z, data.w
122, -0.08632, -0.47484, 0.87583, 23.1034
123, 0.78918, -0.60839, -0.08403, 16.9548
124, 0.55102, 0.64096, 0.53437, -75.20578
125, -0.27124, -0.46802, 0.84106, 27.49448
126, 0.82774, -0.54029, -0.15141, 23.69558
127, 0.5402, 0.69438, 0.47542, -69.10905
128, -0.15173, -0.47532, 0.86663, 24.33786
129, 0.82772, -0.54034, -0.15136, 23.69054
130, 0.54021, 0.69434, 0.47546, -69.1135
131, -0.15182, -0.47532, 0.86662, 24.33992
132, 0.68503, -0.69163, -0.22888, 37.96422
133, 0.69318, 0.52214, 0.49685, -67.1537
134, -0.22413, -0.49902, 0.83711, 28.83914
135, 0.45365, -0.81481, -0.36094, 60.49174
136, 0.70159, 0.0768, 0.70843, -71.75732
137, -0.54951, -0.57462, 0.60651, 61.34147
138, 0.40723, -0.87854, -0.24966, 51.11893
139, 0.73761, 0.15515, 0.65716, -69.75971
140, -0.53861, -0.45176, 0.7112, 43.86924
141, 0.48155, -0.76957, -0.41937, 65.28278
142, 0.68119, 0.02758, 0.73158, -72.39548
143, -0.55144, -0.63797, 0.53751, 71.7048
144, 0.63128, -0.58451, -0.50973, 63.06692
145, 0.64605, 0.03271, 0.7626, -74.74116
146, -0.42907, -0.81072, 0.39827, 93.68655
147, 0.90737, -0.34607, -0.23857, 20.92458
148, 0.35722, 0.33573, 0.8716, -96.90362
149, -0.22154, -0.87608, 0.42826, 90.21462
150, 0.85763, -0.51425, 0.00378, 2.50237
151, 0.15706, 0.26892, 0.95027, -99.64453
152, -0.48969, -0.81439, 0.3114, 104.24003
153, 0.71238, -0.66791, 0.21543, -10.92924
154, -0.0658, 0.24205, 0.96803, -96.7533
155, -0.6987, -0.70378, 0.12848, 122.22908
156, 0.75397, -0.63689, -0.16095, 24.78452
157, 0.65027, 0.75835, 0.04534, -8.40004
158, 0.09318, -0.13885, 0.98592, -0.10121
159, 0.63775, -0.74676, -0.18874, 28.85794
160, 0.72801, 0.66443, -0.16889, 20.54442
161, 0.25153, -0.0297, 0.96739, 0.94426
162, 0.88144, -0.42904, -0.19746, 31.70887
163, 0.43124, 0.9016, -0.03398, 4.12456
164, 0.1926, -0.0552, 0.97972, 2.00053
165, 0.68321, -0.7286, -0.04865, 9.28611
166, 0.72886, 0.67635, 0.10637, -17.05083
167, -0.0446, -0.10813, 0.99314, -0.02296
168, 0.6832, -0.72861, -0.04867, 9.27301
169, 0.72887, 0.67633, 0.10641, -17.04362
170, -0.04462, -0.10818, 0.99313, -0.03691
171, 0.82511, -0.44197, 0.35192, -45.74244
172, 0.55509, 0.75014, -0.35938, 51.77922
173, -0.10516, 0.49188, 0.86429, 25.90945
174, 0.74399, -0.66305, 0.08276, -10.18094
175, 0.66662, 0.74501, -0.02396, 2.01247
