Element, data.x, data.y, data.z, data.w
122, 4.34403E-41, 0.00, 0.00, 1.44641E-39
123, 4.34403E-41, 0.00, 0.00, 1.44641E-39
124, 4.34403E-41, 0.00, 0.00, 1.44641E-39
125, 4.34403E-41, 0.00, 0.00, 1.44641E-39
126, 4.34403E-41, 0.00, 0.00, 1.44641E-39
127, 1.00, 0.00, 0.00, 0.00
128, 0.00, 1.00, 0.00, 0.00
129, 0.00, 0.00, 1.00, 0.00
130, 0.00, 0.00, 0.00, 1.00
131, 0.00, 0.00, 0.00, 0.00
132, 0.00, 0.00, 0.00, 0.00
133, 0.00, 0.00, 0.00, 0.00
134, 0.00, 0.00, 0.00, 0.00
135, 0.00, 0.00, 0.00, 0.00
136, 0.00, 0.00, 0.00, 0.00
137, 0.00, 0.00, 0.00, 0.00
138, 0.00, 0.00, 0.00, 0.00
139, 0.00, 0.00, 0.00, 0.00
140, 0.00, 0.00, 0.00, 0.00
141, 0.00, 0.00, 0.00, 0.00
142, 0.00, 0.00, 0.00, 0.00
143, 4.35145E-41, 0.00, 8.59002E+09, 1.78020E-38
144, -4.89473E+08, 8.12753E-43, 1.97761E-27, 8.12753E-43
145, 4.34403E-41, 0.00, 0.00, 1.44641E-39
146, 4.34403E-41, 0.00, 0.00, 1.44641E-39
147, 4.34403E-41, 0.00, 0.00, 1.44641E-39
148, 4.34403E-41, 0.00, 0.00, 1.44641E-39
149, 4.34403E-41, 0.00, 0.00, 1.44641E-39
150, 4.34403E-41, 0.00, 0.00, 1.44641E-39
151, 4.34403E-41, 0.00, 0.00, 1.44641E-39
152, 4.34403E-41, 0.00, 0.00, 1.44641E-39
153, 4.34403E-41, 0.00, 0.00, 1.44641E-39
154, 4.34403E-41, 0.00, 0.00, 1.44641E-39
155, 4.34403E-41, 0.00, 0.00, 1.44641E-39
156, 4.34403E-41, 0.00, 0.00, 1.44641E-39
157, 4.34403E-41, 0.00, 0.00, 1.44641E-39
158, 4.34403E-41, 0.00, 0.00, 1.44641E-39
159, 1.00, 0.00, 0.00, 0.00
160, 0.00, 1.00, 0.00, 0.00
161, 0.00, 0.00, 1.00, 0.00
162, 0.00, 0.00, 0.00, 1.00
163, 0.00, 0.00, 0.00, 0.00
164, 0.00, 0.00, 0.00, 0.00
165, 0.00, 0.00, 0.00, 0.00
166, 0.00, 0.00, 0.00, 0.00
167, 0.00, 0.00, 0.00, 0.00
168, 0.00, 0.00, 0.00, 0.00
169, 0.00, 0.00, 0.00, 0.00
170, 0.00, 0.00, 0.00, 0.00
171, 0.00, 0.00, 0.00, 0.00
172, 0.00, 0.00, 0.00, 0.00
173, 0.00, 0.00, 0.00, 0.00
174, 0.00, 0.00, 0.00, 0.00
175, 7.52316E-37, 0.00, 4.65664E-10, 1.78020E-38
176, 6.68084E-26, 8.14154E-43, -1.25818E-11, 8.11352E-43
177, 0.00, 0.00, 1.02856E-38, 0.00
178, 0.00, 0.00, 1.02856E-38, 0.00
179, 0.00, 0.00, 1.02856E-38, 0.00
180, 0.00, 0.00, 1.02856E-38, 0.00
181, 0.00, 0.00, 2.27010E-43, 0.00
182, -4.89334E+08, 8.12753E-43, -4.89327E+08, 8.12753E-43
183, 0.00, 0.00, 0.23827, -1.29844E-41
184, 0.00, 0.00, 0.00, 0.00
185, 5.60519E-45, 4.55646E-41, 6.43168E-40, 9.24857E-44
186, 7.52316E-37, 0.00, 3.67343E-40, 9.24857E-44
187, 7.52316E-37, 0.00, 3.67461E-40, 2.35119E-38
188, 7.52316E-37, 0.00, 3.67342E-40, 2.80260E-45
189, 7.52316E-37, 0.00, 3.67342E-40, 9.18467E-41
190, 0.00, 0.00, 1.02856E-38, 0.00
191, 0.00, 0.00, 1.02856E-38, 0.00
