VTX,	IDX,	Position.x,	Position.y,	Position.z
5125.0,	1073.0,	-15.420239448547363,	13.71375846862793,	16.817041397094727
5126.0,	1076.0,	-17.016780853271484,	13.636747360229492,	17.44478416442871
5127.0,	1076.0,	-17.016780853271484,	13.636747360229492,	17.44478416442871
5128.0,	1077.0,	-18.500104904174805,	13.851554870605469,	18.463001251220703
5129.0,	1074.0,	-16.823667526245117,	13.609647750854492,	17.824655532836914
5130.0,	1078.0,	-16.73261833190918,	15.547694206237793,	16.05626106262207
5131.0,	1076.0,	-17.016780853271484,	13.636747360229492,	17.44478416442871
5132.0,	1073.0,	-15.420239448547363,	13.71375846862793,	16.817041397094727
5133.0,	1077.0,	-18.500104904174805,	13.851554870605469,	18.463001251220703
5134.0,	1076.0,	-17.016780853271484,	13.636747360229492,	17.44478416442871
5135.0,	1079.0,	-18.83367919921875,	13.840587615966797,	18.12826919555664
5136.0,	1080.0,	-20.155885696411133,	14.548189163208008,	18.99398422241211
5137.0,	1077.0,	-18.500104904174805,	13.851554870605469,	18.463001251220703
5138.0,	1079.0,	-18.83367919921875,	13.840587615966797,	18.12826919555664
5139.0,	1076.0,	-17.016780853271484,	13.636747360229492,	17.44478416442871
5140.0,	1078.0,	-16.73261833190918,	15.547694206237793,	16.05626106262207
5141.0,	1081.0,	-17.685523986816406,	15.317571640014648,	16.383378982543945
5142.0,	1081.0,	-17.685523986816406,	15.317571640014648,	16.383378982543945
5143.0,	1079.0,	-18.83367919921875,	13.840587615966797,	18.12826919555664
5144.0,	1076.0,	-17.016780853271484,	13.636747360229492,	17.44478416442871
5145.0,	1082.0,	-17.199251174926758,	16.3831729888916,	15.196977615356445
5146.0,	1081.0,	-17.685523986816406,	15.317571640014648,	16.383378982543945
5147.0,	1078.0,	-16.73261833190918,	15.547694206237793,	16.05626106262207
5148.0,	1079.0,	-18.83367919921875,	13.840587615966797,	18.12826919555664
5149.0,	1083.0,	-20.294885635375977,	14.579401016235352,	18.611675262451172
5150.0,	1080.0,	-20.155885696411133,	14.548189163208008,	18.99398422241211
5151.0,	1083.0,	-20.294885635375977,	14.579401016235352,	18.611675262451172
5152.0,	1084.0,	-21.291906356811523,	15.578157424926758,	19.326770782470703
5153.0,	1080.0,	-20.155885696411133,	14.548189163208008,	18.99398422241211
5154.0,	1081.0,	-17.685523986816406,	15.317571640014648,	16.383378982543945
5155.0,	1082.0,	-17.199251174926758,	16.3831729888916,	15.196977615356445
5156.0,	1085.0,	-17.952266693115234,	16.35248565673828,	15.2335844039917
5157.0,	1086.0,	-17.384044647216797,	16.771928787231445,	13.805089950561523
5158.0,	1085.0,	-17.952266693115234,	16.35248565673828,	15.2335844039917
5159.0,	1082.0,	-17.199251174926758,	16.3831729888916,	15.196977615356445
5160.0,	1087.0,	-19.332534790039062,	15.660959243774414,	16.86147689819336
5161.0,	1079.0,	-18.83367919921875,	13.840587615966797,	18.12826919555664
5162.0,	1081.0,	-17.685523986816406,	15.317571640014648,	16.383378982543945
5163.0,	1087.0,	-19.332534790039062,	15.660959243774414,	16.86147689819336
5164.0,	1083.0,	-20.294885635375977,	14.579401016235352,	18.611675262451172
5165.0,	1079.0,	-18.83367919921875,	13.840587615966797,	18.12826919555664
5166.0,	1088.0,	-19.248552322387695,	16.594036102294922,	15.49870491027832
5167.0,	1081.0,	-17.685523986816406,	15.317571640014648,	16.383378982543945
5168.0,	1085.0,	-17.952266693115234,	16.35248565673828,	15.2335844039917
5169.0,	1081.0,	-17.685523986816406,	15.317571640014648,	16.383378982543945
5170.0,	1088.0,	-19.248552322387695,	16.594036102294922,	15.49870491027832
5171.0,	1087.0,	-19.332534790039062,	15.660959243774414,	16.86147689819336
5172.0,	1085.0,	-17.952266693115234,	16.35248565673828,	15.2335844039917
5173.0,	1086.0,	-17.384044647216797,	16.771928787231445,	13.805089950561523
5174.0,	1089.0,	-18.017200469970703,	16.775394439697266,	13.808406829833984
5175.0,	1088.0,	-19.248552322387695,	16.594036102294922,	15.49870491027832
5176.0,	1085.0,	-17.952266693115234,	16.35248565673828,	15.2335844039917
5177.0,	1089.0,	-18.017200469970703,	16.775394439697266,	13.808406829833984
5178.0,	1087.0,	-19.332534790039062,	15.660959243774414,	16.86147689819336
5179.0,	1090.0,	-21.414186477661133,	15.581552505493164,	18.982749938964844
5180.0,	1083.0,	-20.294885635375977,	14.579401016235352,	18.611675262451172
5181.0,	1084.0,	-21.291906356811523,	15.578157424926758,	19.326770782470703
5182.0,	1083.0,	-20.294885635375977,	14.579401016235352,	18.611675262451172
5183.0,	1090.0,	-21.414186477661133,	15.581552505493164,	18.982749938964844
5184.0,	1091.0,	-20.204177856445312,	17.228973388671875,	15.596132278442383
5185.0,	1087.0,	-19.332534790039062,	15.660959243774414,	16.86147689819336
5186.0,	1088.0,	-19.248552322387695,	16.594036102294922,	15.49870491027832
5187.0,	1092.0,	-22.003496170043945,	16.759191513061523,	19.082765579223633
5188.0,	1084.0,	-21.291906356811523,	15.578157424926758,	19.326770782470703
5189.0,	1090.0,	-21.414186477661133,	15.581552505493164,	18.982749938964844
5190.0,	1084.0,	-21.291906356811523,	15.578157424926758,	19.326770782470703
