VTX,	IDX,	Position.x,	Position.y,	Position.z
19663.0,	27957.0,	5.285889625549316,	7.722820281982422,	155.08721923828125
19664.0,	27959.0,	5.136439323425293,	7.883563995361328,	154.86907958984375
19665.0,	27959.0,	5.136439323425293,	7.883563995361328,	154.86907958984375
19666.0,	27958.0,	5.225876808166504,	7.738300323486328,	155.1116943359375
19667.0,	27956.0,	5.269274711608887,	7.691181182861328,	155.0908203125
19668.0,	27960.0,	6.1053361892700195,	7.8951945304870605,	165.19219970703125
19669.0,	27961.0,	6.059107780456543,	7.982150077819824,	163.69033813476562
19670.0,	27962.0,	6.612889289855957,	8.190288543701172,	163.6844940185547
19671.0,	27963.0,	7.202710151672363,	7.836090564727783,	165.11444091796875
19672.0,	27962.0,	6.612889289855957,	8.190288543701172,	163.6844940185547
19673.0,	27964.0,	7.106034278869629,	7.890232086181641,	163.65330505371094
19674.0,	27962.0,	6.612889289855957,	8.190288543701172,	163.6844940185547
19675.0,	27965.0,	6.721549034118652,	8.127300262451172,	165.159912109375
19676.0,	27960.0,	6.1053361892700195,	7.8951945304870605,	165.19219970703125
19677.0,	27962.0,	6.612889289855957,	8.190288543701172,	163.6844940185547
19678.0,	27963.0,	7.202710151672363,	7.836090564727783,	165.11444091796875
19679.0,	27965.0,	6.721549034118652,	8.127300262451172,	165.159912109375
19680.0,	27966.0,	6.2234344482421875,	7.7243757247924805,	166.68606567382812
19681.0,	27960.0,	6.1053361892700195,	7.8951945304870605,	165.19219970703125
19682.0,	27965.0,	6.721549034118652,	8.127300262451172,	165.159912109375
19683.0,	27967.0,	7.347745895385742,	7.689840793609619,	166.5662841796875
19684.0,	27965.0,	6.721549034118652,	8.127300262451172,	165.159912109375
19685.0,	27963.0,	7.202710151672363,	7.836090564727783,	165.11444091796875
19686.0,	27965.0,	6.721549034118652,	8.127300262451172,	165.159912109375
19687.0,	27968.0,	6.869352340698242,	7.964591979980469,	166.62730407714844
19688.0,	27966.0,	6.2234344482421875,	7.7243757247924805,	166.68606567382812
19689.0,	27965.0,	6.721549034118652,	8.127300262451172,	165.159912109375
19690.0,	27967.0,	7.347745895385742,	7.689840793609619,	166.5662841796875
19691.0,	27968.0,	6.869352340698242,	7.964591979980469,	166.62730407714844
19692.0,	27969.0,	6.414089202880859,	7.547009468078613,	168.1142120361328
19693.0,	27966.0,	6.2234344482421875,	7.7243757247924805,	166.68606567382812
19694.0,	27968.0,	6.869352340698242,	7.964591979980469,	166.62730407714844
19695.0,	27967.0,	7.347745895385742,	7.689840793609619,	166.5662841796875
19696.0,	27970.0,	7.085184097290039,	7.72615909576416,	168.03897094726562
19697.0,	27968.0,	6.869352340698242,	7.964591979980469,	166.62730407714844
19698.0,	27968.0,	6.869352340698242,	7.964591979980469,	166.62730407714844
19699.0,	27970.0,	7.085184097290039,	7.72615909576416,	168.03897094726562
19700.0,	27969.0,	6.414089202880859,	7.547009468078613,	168.1142120361328
19701.0,	27970.0,	7.085184097290039,	7.72615909576416,	168.03897094726562
19702.0,	27967.0,	7.347745895385742,	7.689840793609619,	166.5662841796875
19703.0,	27971.0,	7.544017791748047,	7.457993507385254,	167.9932098388672
19704.0,	27972.0,	6.687414169311523,	7.224313735961914,	169.52610778808594
19705.0,	27969.0,	6.414089202880859,	7.547009468078613,	168.1142120361328
19706.0,	27970.0,	7.085184097290039,	7.72615909576416,	168.03897094726562
19707.0,	27973.0,	7.759916305541992,	7.159380912780762,	169.3096466064453
19708.0,	27970.0,	7.085184097290039,	7.72615909576416,	168.03897094726562
19709.0,	27971.0,	7.544017791748047,	7.457993507385254,	167.9932098388672
19710.0,	27970.0,	7.085184097290039,	7.72615909576416,	168.03897094726562
