VTX,	IDX,	Position.x,	Position.y,	Position.z
6708.0,	1718.0,	9.583379745483398,	0.00031057122396305203,	5.0701398849487305
6709.0,	1717.0,	9.524239540100098,	-0.39542943239212036,	4.5832600593566895
6710.0,	1720.0,	9.533980369567871,	-0.4381694197654724,	5.082699775695801
6711.0,	1720.0,	9.533980369567871,	-0.4381694197654724,	5.082699775695801
6712.0,	1717.0,	9.524239540100098,	-0.39542943239212036,	4.5832600593566895
6713.0,	1715.0,	9.420140266418457,	-0.7282194495201111,	4.552770137786865
6714.0,	1721.0,	9.669300079345703,	0.0003105763462372124,	5.605050086975098
6715.0,	1719.0,	9.533989906311035,	0.43879055976867676,	5.082699775695801
6716.0,	1718.0,	9.583379745483398,	0.00031057122396305203,	5.0701398849487305
6717.0,	1720.0,	9.533980369567871,	-0.4381694197654724,	5.082699775695801
6718.0,	1721.0,	9.669300079345703,	0.0003105763462372124,	5.605050086975098
6719.0,	1718.0,	9.583379745483398,	0.00031057122396305203,	5.0701398849487305
6720.0,	1466.0,	9.420149803161621,	0.7288405299186707,	4.552770137786865
6721.0,	1719.0,	9.533989906311035,	0.43879055976867676,	5.082699775695801
6722.0,	1722.0,	9.405059814453125,	0.8134405612945557,	5.057759761810303
6723.0,	1465.0,	9.245539665222168,	1.042750597000122,	5.000370025634766
6724.0,	1466.0,	9.420149803161621,	0.7288405299186707,	4.552770137786865
6725.0,	1722.0,	9.405059814453125,	0.8134405612945557,	5.057759761810303
6726.0,	1723.0,	9.608599662780762,	0.5081605911254883,	5.618410110473633
6727.0,	1722.0,	9.405059814453125,	0.8134405612945557,	5.057759761810303
6728.0,	1719.0,	9.533989906311035,	0.43879055976867676,	5.082699775695801
6729.0,	1721.0,	9.669300079345703,	0.0003105763462372124,	5.605050086975098
6730.0,	1723.0,	9.608599662780762,	0.5081605911254883,	5.618410110473633
6731.0,	1719.0,	9.533989906311035,	0.43879055976867676,	5.082699775695801
6732.0,	1724.0,	9.44694995880127,	0.9794805645942688,	5.588009834289551
6733.0,	1465.0,	9.245539665222168,	1.042750597000122,	5.000370025634766
6734.0,	1722.0,	9.405059814453125,	0.8134405612945557,	5.057759761810303
6735.0,	1722.0,	9.405059814453125,	0.8134405612945557,	5.057759761810303
6736.0,	1723.0,	9.608599662780762,	0.5081605911254883,	5.618410110473633
6737.0,	1724.0,	9.44694995880127,	0.9794805645942688,	5.588009834289551
6738.0,	1465.0,	9.245539665222168,	1.042750597000122,	5.000370025634766
6739.0,	1724.0,	9.44694995880127,	0.9794805645942688,	5.588009834289551
6740.0,	1468.0,	9.247480392456055,	1.2775906324386597,	5.501830101013184
6741.0,	1725.0,	9.781450271606445,	0.000310583011014387,	6.141160011291504
6742.0,	1723.0,	9.608599662780762,	0.5081605911254883,	5.618410110473633
6743.0,	1721.0,	9.669300079345703,	0.0003105763462372124,	5.605050086975098
6744.0,	1726.0,	9.715869903564453,	0.5995405912399292,	6.160999774932861
6745.0,	1724.0,	9.44694995880127,	0.9794805645942688,	5.588009834289551
6746.0,	1723.0,	9.608599662780762,	0.5081605911254883,	5.618410110473633
6747.0,	1725.0,	9.781450271606445,	0.000310583011014387,	6.141160011291504
6748.0,	1726.0,	9.715869903564453,	0.5995405912399292,	6.160999774932861
6749.0,	1723.0,	9.608599662780762,	0.5081605911254883,	5.618410110473633
6750.0,	1727.0,	9.543450355529785,	1.1691006422042847,	6.130529880523682
6751.0,	1468.0,	9.247480392456055,	1.2775906324386597,	5.501830101013184
6752.0,	1724.0,	9.44694995880127,	0.9794805645942688,	5.588009834289551
6753.0,	1724.0,	9.44694995880127,	0.9794805645942688,	5.588009834289551
6754.0,	1726.0,	9.715869903564453,	0.5995405912399292,	6.160999774932861
6755.0,	1727.0,	9.543450355529785,	1.1691006422042847,	6.130529880523682
6756.0,	1728.0,	9.608590126037598,	-0.5075494050979614,	5.618410110473633
6757.0,	1725.0,	9.781450271606445,	0.000310583011014387,	6.141160011291504
6758.0,	1721.0,	9.669300079345703,	0.0003105763462372124,	5.605050086975098
6759.0,	1721.0,	9.669300079345703,	0.0003105763462372124,	5.605050086975098
6760.0,	1720.0,	9.533980369567871,	-0.4381694197654724,	5.082699775695801
6761.0,	1728.0,	9.608590126037598,	-0.5075494050979614,	5.618410110473633
6762.0,	1729.0,	9.922980308532715,	0.00031059145112521946,	6.723899841308594
6763.0,	1726.0,	9.715869903564453,	0.5995405912399292,	6.160999774932861
6764.0,	1725.0,	9.781450271606445,	0.000310583011014387,	6.141160011291504
6765.0,	1728.0,	9.608590126037598,	-0.5075494050979614,	5.618410110473633
6766.0,	1720.0,	9.533980369567871,	-0.4381694197654724,	5.082699775695801
6767.0,	1730.0,	9.405050277709961,	-0.8128194808959961,	5.057759761810303
6768.0,	1715.0,	9.420140266418457,	-0.7282194495201111,	4.552770137786865
6769.0,	1730.0,	9.405050277709961,	-0.8128194808959961,	5.057759761810303
6770.0,	1720.0,	9.533980369567871,	-0.4381694197654724,	5.082699775695801
6771.0,	1725.0,	9.781450271606445,	0.000310583011014387,	6.141160011291504
6772.0,	1728.0,	9.608590126037598,	-0.5075494050979614,	5.618410110473633
6773.0,	1731.0,	9.715860366821289,	-0.5989193916320801,	6.160999774932861
6774.0,	1731.0,	9.715860366821289,	-0.5989193916320801,	6.160999774932861
6775.0,	1729.0,	9.922980308532715,	0.00031059145112521946,	6.723899841308594
6776.0,	1725.0,	9.781450271606445,	0.000310583011014387,	6.141160011291504
6777.0,	1730.0,	9.405050277709961,	-0.8128194808959961,	5.057759761810303
6778.0,	1732.0,	9.446940422058105,	-0.9788594841957092,	5.588009834289551
6779.0,	1728.0,	9.608590126037598,	-0.5075494050979614,	5.618410110473633
6780.0,	1731.0,	9.715860366821289,	-0.5989193916320801,	6.160999774932861
6781.0,	1728.0,	9.608590126037598,	-0.5075494050979614,	5.618410110473633
6782.0,	1732.0,	9.446940422058105,	-0.9788594841957092,	5.588009834289551
6783.0,	1715.0,	9.420140266418457,	-0.7282194495201111,	4.552770137786865
6784.0,	1733.0,	9.245519638061523,	-1.042129397392273,	5.000370025634766
6785.0,	1730.0,	9.405050277709961,	-0.8128194808959961,	5.057759761810303
6786.0,	1732.0,	9.446940422058105,	-0.9788594841957092,	5.588009834289551
6787.0,	1730.0,	9.405050277709961,	-0.8128194808959961,	5.057759761810303
6788.0,	1733.0,	9.245519638061523,	-1.042129397392273,	5.000370025634766
6789.0,	1733.0,	9.245519638061523,	-1.042129397392273,	5.000370025634766
6790.0,	1715.0,	9.420140266418457,	-0.7282194495201111,	4.552770137786865
6791.0,	1734.0,	9.275050163269043,	-0.9407294392585754,	4.468160152435303
6792.0,	1715.0,	9.420140266418457,	-0.7282194495201111,	4.552770137786865
6793.0,	1711.0,	9.505999565124512,	-0.6896094083786011,	4.081099987030029
6794.0,	1734.0,	9.275050163269043,	-0.9407294392585754,	4.468160152435303
6795.0,	1712.0,	9.365889549255371,	-0.9374394416809082,	3.9800400733947754
6796.0,	1734.0,	9.275050163269043,	-0.9407294392585754,	4.468160152435303
6797.0,	1711.0,	9.505999565124512,	-0.6896094083786011,	4.081099987030029
6798.0,	1733.0,	9.245519638061523,	-1.042129397392273,	5.000370025634766
6799.0,	1735.0,	9.247469902038574,	-1.2769694328308105,	5.501830101013184
6800.0,	1732.0,	9.446940422058105,	-0.9788594841957092,	5.588009834289551
6801.0,	1734.0,	9.275050163269043,	-0.9407294392585754,	4.468160152435303
6802.0,	1712.0,	9.365889549255371,	-0.9374394416809082,	3.9800400733947754
6803.0,	1736.0,	9.1068696975708,	-1.0760194063186646,	4.361000061035156
6804.0,	1734.0,	9.275050163269043,	-0.9407294392585754,	4.468160152435303
6805.0,	1737.0,	9.057379722595215,	-1.187739372253418,	4.955699920654297
6806.0,	1733.0,	9.245519638061523,	-1.042129397392273,	5.000370025634766
6807.0,	1737.0,	9.057379722595215,	-1.187739372253418,	4.955699920654297
6808.0,	1734.0,	9.275050163269043,	-0.9407294392585754,	4.468160152435303
6809.0,	1736.0,	9.1068696975708,	-1.0760194063186646,	4.361000061035156
6810.0,	1735.0,	9.247469902038574,	-1.2769694328308105,	5.501830101013184
6811.0,	1733.0,	9.245519638061523,	-1.042129397392273,	5.000370025634766
6812.0,	1737.0,	9.057379722595215,	-1.187739372253418,	4.955699920654297
6813.0,	1712.0,	9.365889549255371,	-0.9374394416809082,	3.9800400733947754
6814.0,	1738.0,	9.229280471801758,	-1.1291193962097168,	3.8431499004364014
6815.0,	1736.0,	9.1068696975708,	-1.0760194063186646,	4.361000061035156
6816.0,	1707.0,	9.570859909057617,	-0.9176493883132935,	3.510960102081299
6817.0,	1738.0,	9.229280471801758,	-1.1291193962097168,	3.8431499004364014
6818.0,	1712.0,	9.365889549255371,	-0.9374394416809082,	3.9800400733947754
6819.0,	1739.0,	9.543439865112305,	-1.1684894561767578,	6.130529880523682
6820.0,	1732.0,	9.446940422058105,	-0.9788594841957092,	5.588009834289551
