VTX,	IDX,	Position.x,	Position.y,	Position.z
34466.0,	16258.0,	14.026601791381836,	-6.326391220092773,	147.16539001464844
34467.0,	16266.0,	13.574908256530762,	-6.524755477905273,	147.50604248046875
34468.0,	16263.0,	14.05455207824707,	-6.766165733337402,	147.24453735351562
34469.0,	16264.0,	13.948720932006836,	-6.562986373901367,	147.07118225097656
34470.0,	16264.0,	13.948720932006836,	-6.562986373901367,	147.07118225097656
34471.0,	16267.0,	13.56782341003418,	-6.343504905700684,	147.2979736328125
34472.0,	16266.0,	13.574908256530762,	-6.524755477905273,	147.50604248046875
34473.0,	16268.0,	13.516956329345703,	-6.108647346496582,	147.37863159179688
34474.0,	16266.0,	13.574908256530762,	-6.524755477905273,	147.50604248046875
34475.0,	16267.0,	13.56782341003418,	-6.343504905700684,	147.2979736328125
34476.0,	16269.0,	13.766206741333008,	-6.494771957397461,	147.58258056640625
34477.0,	16262.0,	14.141788482666016,	-6.638816833496094,	147.36314392089844
34478.0,	16263.0,	14.05455207824707,	-6.766165733337402,	147.24453735351562
34479.0,	16263.0,	14.05455207824707,	-6.766165733337402,	147.24453735351562
34480.0,	16266.0,	13.574908256530762,	-6.524755477905273,	147.50604248046875
34481.0,	16269.0,	13.766206741333008,	-6.494771957397461,	147.58258056640625
34482.0,	16265.0,	14.128952026367188,	-6.41901969909668,	147.32911682128906
34483.0,	16262.0,	14.141788482666016,	-6.638816833496094,	147.36314392089844
34484.0,	16270.0,	13.882501602172852,	-6.342757225036621,	147.49652099609375
34485.0,	16262.0,	14.141788482666016,	-6.638816833496094,	147.36314392089844
34486.0,	16269.0,	13.766206741333008,	-6.494771957397461,	147.58258056640625
34487.0,	16270.0,	13.882501602172852,	-6.342757225036621,	147.49652099609375
34488.0,	16258.0,	14.026601791381836,	-6.326391220092773,	147.16539001464844
34489.0,	16265.0,	14.128952026367188,	-6.41901969909668,	147.32911682128906
34490.0,	16271.0,	13.815584182739258,	-6.232022285461426,	147.32437133789062
34491.0,	16265.0,	14.128952026367188,	-6.41901969909668,	147.32911682128906
34492.0,	16270.0,	13.882501602172852,	-6.342757225036621,	147.49652099609375
34493.0,	16271.0,	13.815584182739258,	-6.232022285461426,	147.32437133789062
34494.0,	16271.0,	13.815584182739258,	-6.232022285461426,	147.32437133789062
34495.0,	16259.0,	13.948720932006836,	-6.562986373901367,	147.07118225097656
34496.0,	16258.0,	14.026601791381836,	-6.326391220092773,	147.16539001464844
34497.0,	16259.0,	13.948720932006836,	-6.562986373901367,	147.07118225097656
34498.0,	16271.0,	13.815584182739258,	-6.232022285461426,	147.32437133789062
34499.0,	16272.0,	13.56782341003418,	-6.343504905700684,	147.2979736328125
34500.0,	16272.0,	13.56782341003418,	-6.343504905700684,	147.2979736328125
34501.0,	16271.0,	13.815584182739258,	-6.232022285461426,	147.32437133789062
34502.0,	16273.0,	13.516956329345703,	-6.108647346496582,	147.37863159179688
34503.0,	16271.0,	13.815584182739258,	-6.232022285461426,	147.32437133789062
34504.0,	16274.0,	13.81230354309082,	-6.161271095275879,	147.3665771484375
34505.0,	16273.0,	13.516956329345703,	-6.108647346496582,	147.37863159179688
34506.0,	16271.0,	13.815584182739258,	-6.232022285461426,	147.32437133789062
34507.0,	16270.0,	13.882501602172852,	-6.342757225036621,	147.49652099609375
34508.0,	16274.0,	13.81230354309082,	-6.161271095275879,	147.3665771484375
34509.0,	16273.0,	13.516956329345703,	-6.108647346496582,	147.37863159179688
34510.0,	16274.0,	13.81230354309082,	-6.161271095275879,	147.3665771484375
34511.0,	16275.0,	13.570907592773438,	-5.917717933654785,	147.3614959716797
34512.0,	16269.0,	13.766206741333008,	-6.494771957397461,	147.58258056640625
34513.0,	16276.0,	13.667562484741211,	-6.213271141052246,	147.68734741210938
34514.0,	16270.0,	13.882501602172852,	-6.342757225036621,	147.49652099609375
34515.0,	16266.0,	13.574908256530762,	-6.524755477905273,	147.50604248046875
34516.0,	16276.0,	13.667562484741211,	-6.213271141052246,	147.68734741210938
34517.0,	16269.0,	13.766206741333008,	-6.494771957397461,	147.58258056640625
34518.0,	16277.0,	13.844690322875977,	-6.215221405029297,	147.56101989746094
34519.0,	16274.0,	13.81230354309082,	-6.161271095275879,	147.3665771484375
34520.0,	16270.0,	13.882501602172852,	-6.342757225036621,	147.49652099609375
34521.0,	16276.0,	13.667562484741211,	-6.213271141052246,	147.68734741210938
34522.0,	16277.0,	13.844690322875977,	-6.215221405029297,	147.56101989746094
34523.0,	16270.0,	13.882501602172852,	-6.342757225036621,	147.49652099609375
34524.0,	16275.0,	13.570907592773438,	-5.917717933654785,	147.3614959716797
34525.0,	16274.0,	13.81230354309082,	-6.161271095275879,	147.3665771484375
34526.0,	16278.0,	13.85995101928711,	-6.080611228942871,	147.37269592285156
34527.0,	16277.0,	13.844690322875977,	-6.215221405029297,	147.56101989746094
34528.0,	16278.0,	13.85995101928711,	-6.080611228942871,	147.37269592285156
34529.0,	16274.0,	13.81230354309082,	-6.161271095275879,	147.3665771484375
34530.0,	16276.0,	13.667562484741211,	-6.213271141052246,	147.68734741210938
34531.0,	16266.0,	13.574908256530762,	-6.524755477905273,	147.50604248046875
34532.0,	16279.0,	13.458112716674805,	-6.160240173339844,	147.62771606445312
34533.0,	16266.0,	13.574908256530762,	-6.524755477905273,	147.50604248046875
34534.0,	16268.0,	13.516956329345703,	-6.108647346496582,	147.37863159179688
34535.0,	16279.0,	13.458112716674805,	-6.160240173339844,	147.62771606445312
34536.0,	16280.0,	13.524028778076172,	-5.7849836349487305,	147.5924835205078
34537.0,	16279.0,	13.458112716674805,	-6.160240173339844,	147.62771606445312
34538.0,	16268.0,	13.516956329345703,	-6.108647346496582,	147.37863159179688
34539.0,	16280.0,	13.524028778076172,	-5.7849836349487305,	147.5924835205078
34540.0,	16276.0,	13.667562484741211,	-6.213271141052246,	147.68734741210938
34541.0,	16279.0,	13.458112716674805,	-6.160240173339844,	147.62771606445312
34542.0,	16280.0,	13.524028778076172,	-5.7849836349487305,	147.5924835205078
34543.0,	16268.0,	13.516956329345703,	-6.108647346496582,	147.37863159179688
34544.0,	16281.0,	13.570907592773438,	-5.917717933654785,	147.3614959716797
34545.0,	16276.0,	13.667562484741211,	-6.213271141052246,	147.68734741210938
34546.0,	16282.0,	13.734577178955078,	-5.86613655090332,	147.66375732421875
34547.0,	16277.0,	13.844690322875977,	-6.215221405029297,	147.56101989746094
34548.0,	16276.0,	13.667562484741211,	-6.213271141052246,	147.68734741210938
34549.0,	16280.0,	13.524028778076172,	-5.7849836349487305,	147.5924835205078
34550.0,	16282.0,	13.734577178955078,	-5.86613655090332,	147.66375732421875
34551.0,	16281.0,	13.570907592773438,	-5.917717933654785,	147.3614959716797
34552.0,	16283.0,	13.668231964111328,	-5.60866641998291,	147.3356170654297
34553.0,	16280.0,	13.524028778076172,	-5.7849836349487305,	147.5924835205078
34554.0,	16283.0,	13.668231964111328,	-5.60866641998291,	147.3356170654297
34555.0,	16282.0,	13.734577178955078,	-5.86613655090332,	147.66375732421875
34556.0,	16280.0,	13.524028778076172,	-5.7849836349487305,	147.5924835205078
34557.0,	16283.0,	13.668231964111328,	-5.60866641998291,	147.3356170654297
34558.0,	16281.0,	13.570907592773438,	-5.917717933654785,	147.3614959716797
34559.0,	16284.0,	13.656844139099121,	-5.8688554763793945,	147.24729919433594
34560.0,	16285.0,	13.725351333618164,	-5.886490821838379,	147.07199096679688
34561.0,	16283.0,	13.668231964111328,	-5.60866641998291,	147.3356170654297
34562.0,	16284.0,	13.656844139099121,	-5.8688554763793945,	147.24729919433594
34563.0,	16282.0,	13.734577178955078,	-5.86613655090332,	147.66375732421875
34564.0,	16286.0,	13.897408485412598,	-6.006817817687988,	147.55404663085938
34565.0,	16277.0,	13.844690322875977,	-6.215221405029297,	147.56101989746094
34566.0,	16278.0,	13.85995101928711,	-6.080611228942871,	147.37269592285156
34567.0,	16277.0,	13.844690322875977,	-6.215221405029297,	147.56101989746094
34568.0,	16286.0,	13.897408485412598,	-6.006817817687988,	147.55404663085938
34569.0,	16283.0,	13.668231964111328,	-5.60866641998291,	147.3356170654297
34570.0,	16285.0,	13.725351333618164,	-5.886490821838379,	147.07199096679688
34571.0,	16287.0,	13.774916648864746,	-5.6119184494018555,	147.01031494140625
34572.0,	16288.0,	13.790186882019043,	-6.025798797607422,	146.83912658691406
34573.0,	16287.0,	13.774916648864746,	-5.6119184494018555,	147.01031494140625
34574.0,	16285.0,	13.725351333618164,	-5.886490821838379,	147.07199096679688
34575.0,	16282.0,	13.734577178955078,	-5.86613655090332,	147.66375732421875
34576.0,	16283.0,	13.668231964111328,	-5.60866641998291,	147.3356170654297
34577.0,	16289.0,	13.88892936706543,	-5.653907775878906,	147.38247680664062
34578.0,	16287.0,	13.774916648864746,	-5.6119184494018555,	147.01031494140625
