Element, data.x, data.y, data.z, data.w
122, 0.22462, 0.32471, 0.91876, 19.5138
123, 0.66958, -0.73373, -0.11531, 16.39406
124, 0.7378, 0.67494, -0.01051, 1.62367
125, 0.08554, -0.07804, 0.99327, 0.83443
126, 0.70282, -0.71032, -0.03851, 7.65197
127, 0.70879, 0.70385, -0.04697, 5.23522
128, 0.06047, 0.00572, 0.99815, -0.70413
129, 0.68024, -0.72829, -0.08283, 13.76808
130, 0.70965, 0.68265, -0.17432, 20.54576
131, 0.1835, 0.0598, 0.9812, 0.60777
132, 0.63018, -0.74635, -0.21406, 26.14744
133, 0.77244, 0.63061, 0.07532, -6.31276
134, 0.07877, -0.21282, 0.97391, 4.04008
135, 0.65938, -0.74671, -0.0874, 14.33614
136, 0.73032, 0.66379, -0.16128, 19.73669
137, 0.17844, 0.04251, 0.98303, 0.66022
138, 0.64496, -0.75554, -0.11484, 17.04985
139, 0.74683, 0.655, -0.11498, 15.53077
140, 0.16209, -0.0116, 0.98671, 1.16857
141, 0.94485, -0.31766, -0.07971, 7.95617
142, 0.32471, 0.94036, 0.10144, -20.92191
143, 0.04273, -0.12173, 0.99164, 1.94336
144, 0.92289, -0.26808, -0.27643, 29.6216
145, 0.30852, 0.94434, 0.11422, -22.75785
146, 0.23042, -0.1907, 0.95422, 10.74636
147, 0.87805, -0.45228, -0.15642, 22.13046
148, 0.43486, 0.89051, -0.13374, 16.29195
149, 0.19979, 0.04941, 0.97859, 0.31158
150, 0.8869, -0.4448, -0.12473, 18.3648
151, 0.42565, 0.89177, -0.1535, 18.70096
152, 0.17951, 0.08305, 0.98024, 0.46198
153, 0.91179, -0.40104, -0.08832, 14.57718
154, 0.39434, 0.9151, -0.08422, 11.06979
155, 0.1146, 0.04196, 0.99253, -1.21068
156, 0.87459, -0.45262, -0.17384, 24.33997
157, 0.4346, 0.89078, -0.1328, 16.17615
158, 0.21496, 0.04059, 0.97578, 0.54086
159, 0.87462, -0.45258, -0.17382, 24.33735
160, 0.43454, 0.8908, -0.13286, 16.18546
161, 0.21497, 0.04067, 0.97577, 0.54189
162, 0.74399, -0.66305, 0.08276, -10.18111
163, 0.66662, 0.74501, -0.02396, 2.01272
164, -0.04577, 0.07299, 0.99628, -0.99004
165, 0.6845, -0.72859, 0.02462, -1.52509
166, 0.72653, 0.68457, 0.05927, -9.99627
167, -0.06004, -0.02268, 0.99794, -0.90996
168, 0.72259, -0.68479, -0.09449, 15.39973
169, 0.69127, 0.7164, 0.09441, -15.40057
170, 0.00304, -0.13354, 0.99104, 0.65688
171, 0.76538, -0.61059, -0.20342, 30.09238
172, 0.6419, 0.74711, 0.17262, -26.78503
173, 0.04657, -0.2627, 0.96375, 5.77614
174, 0.71743, -0.65672, -0.2324, 35.43011
175, 0.69602, 0.66176, 0.27864, -41.17342
176, -0.02919, -0.36166, 0.93185, 12.4508
177, 0.64841, -0.73071, -0.21362, 34.78972
178, 0.75498, 0.58115, 0.30376, -43.59666
179, -0.09782, -0.35824, 0.92849, 13.36605
180, 0.84845, -0.49644, -0.18352, 26.59005
181, 0.52176, 0.72631, 0.44748, -66.39616
182, -0.08885, -0.47542, 0.87526, 23.19447
183, 0.99025, -0.06221, 0.12462, -19.56683
184, 0.06467, 0.99778, -0.01578, 1.88782
185, -0.12336, 0.02369, 0.99208, 0.59999
186, 0.80997, -0.28439, 0.51291, -62.03934
187, 0.46213, 0.84797, -0.2596, 41.73205
188, -0.3611, 0.44729, 0.81825, 30.73946
189, 0.91496, -0.10281, 0.39023, -41.26482
190, 0.26915, 0.87599, -0.40025, 60.71583
191, -0.30069, 0.47125, 0.82916, 29.9678
192, 0.64308, -0.42372, 0.63789, -80.65512
193, 0.6246, 0.77217, -0.11676, 20.70517
194, -0.44308, 0.47351, 0.76123, 38.96667
195, 0.60334, -0.35392, 0.71464, -85.89529
196, 0.65544, 0.73055, -0.19156, 27.06265
197, -0.45429, 0.58399, 0.67275, 54.04657
198, 0.58014, -0.30852, 0.75382, -88.50166
199, 0.67391, 0.70161, -0.23149, 30.41678
200, -0.45747, 0.6423, 0.61495, 62.94208
201, 0.59863, -0.35213, 0.71948, -86.29752
202, 0.54879, 0.83457, -0.04815, 16.92168
203, -0.5835, 0.42366, 0.69285, 46.45083
